Stock Name,2025-05-27,2025-05-28
Reliance Industries Ltd,-0.175487859247769,-1.1404930950667433
Tata Consultancy Services,0.0114313334524853,-0.7969850038883989
HDFC Bank Ltd,0.595332616257644,-0.17127095414659563
Infosys Ltd,0.608740237640537,0.2103952074035703
ICICI Bank Ltd,0.570162252856838,0.6298953390888131
Hindustan Unilever Ltd,1.67014872857291,-0.08037152257869686
State Bank of India,1.02462770226125,1.2006114216934662
Bharti Airtel Ltd,1.92935065194481,1.843620059585048
ITC Ltd,-0.229937919989491,-1.1680789821939643
Larsen & Toubro Ltd,2.02365463825782,1.5965463591007245
Wipro Ltd,-0.584680899688634,-1.3908837552335025
Mahindra & Mahindra,-0.773623344928187,-3.0057884560591495
Dr Reddy's Laboratories,1.55203404327962,1.461584480095272
Asian Paints Ltd,1.3939710157998,-0.3978529476043621
Bajaj Finance Ltd,1.01332745897125,0.7610763794509378
